OBJECTID,Geo_ID,Geo_Type,Geo_Name,Poor_health,Poor_health_LCL,Poor_health_UCL,Poor_health_RSE,Poor_health_EST,SHAPE_Length,SHAPE_Area
55,csa_city_pico_rivera,Incorporated City,City of Pico Rivera,12,9.4,14.7,11.2877161884864,small area estimate,95367.7009761028,248180730.471449
56,csa_city_redondo_beach,Incorporated City,City of Redondo Beach,6.2,4.4,8,14.5745790905489,small area estimate,103678.683548515,-173842324.04397
57,csa_city_rosemead,Incorporated City,City of Rosemead,17.6,14.7,20.5,8.33754944989735,small area estimate,94495.0868413355,144217751.422132
58,csa_city_san_dimas,Incorporated City,City of San Dimas,10.9,9,12.8,8.74705240170668,small area estimate,170632.370385882,429685883.243696
59,csa_city_san_fernando,Incorporated City,City of San Fernando,12.9,9.7,16,12.6090136385428,small area estimate,36548.9232927347,66108330.457373
60,csa_city_san_gabriel,Incorporated City,City of San Gabriel,16.3,13.6,19,8.32861679695566,small area estimate,96451.8961334471,115211437.158198
61,csa_city_san_marino,Incorporated City,City of San Marino,,,,,,56678.5792910711,105008644.926856
62,csa_city_santa_clarita,Incorporated City,City of Santa Clarita,8.2,6.4,10,11.2456433709747,small area estimate,401512.902907606,2053437651.50045
63,csa_city_santa_fe_springs,Incorporated City,City of Santa Fe Springs,,,,,,157552.590868578,247463254.183778
64,csa_city_santa_monica,Incorporated City,City of Santa Monica,6.5,4.7,8.3,13.9494716356296,small area estimate,65949.9838682261,-237691986.486453
65,csa_city_sierra_madre,Incorporated City,City of Sierra Madre,,,,,,40140.5976967932,82433009.1663505
